"Core_Sample","Country",1960,1970,1980,1990,2000,"avg","Trend","Original","Region","Income Group"
"Additional Countries","Belize",,23.2,23,,,23.1,"decrease",,"Latin America & the Caribbean","Lower-middle-income country"
"Additional Countries","Central African Republic",1.9,1.7,0.9,,,1.5,"decrease",,"Sub-Saharan Africa","Low-income country"
"Additional Countries","Congo",,1.4,1,,,1.2,"decrease",,"Sub-Saharan Africa","Lower-middle-income country"
"Additional Countries","Cook Islands",,,,1.2,0.6,0.9,"decrease",,"East Asia & the Pacific",
"Additional Countries","Costa Rica",41,38.3,,,,39.65,"decrease",,"Latin America & the Caribbean","Upper-middle-income country"
"Additional Countries","Cote d'Ivoire",,5,,,3.9,4.45,"decrease",,"Sub-Saharan Africa","Lower-middle-income country"
"Additional Countries","Democratic Republic of the Congo",,2.3,,0.5,,1.4,"decrease",,"Sub-Saharan Africa","Low-income country"
"Additional Countries","Dominican Republic",5.1,9,,,,7.05,"increase",,"Latin America & the Caribbean","Upper-middle-income country"
"Additional Countries","Ecuador",,15.3,,,14.7,15,"decrease",,"Latin America & the Caribbean","Upper-middle-income country"
"Additional Countries","El Salvador",7,4.6,,,,5.8,"decrease",,"Latin America & the Caribbean","Lower-middle-income country"
"Additional Countries","Grenada",,,1.7,0.8,,1.25,"decrease",,"Latin America & the Caribbean","Upper-middle-income country"
"Additional Countries","Guinea - Bissau",3,,,1.1,,2.05,"decrease",,"Sub-Saharan Africa","Low-income country"
"Additional Countries","Honduras",,13.5,,11.2,,12.35,"decrease",,"Latin America & the Caribbean","Lower-middle-income country"
"Additional Countries","Iraq",31.8,9.7,,,,20.75,"decrease",,"Middle East & North Africa","Lower-middle-income country"
"Additional Countries","Israel",,13.4,11.3,14.2,,12.9666666666667,"increase",,"High-income country","High-income country"
"Additional Countries","Mali",4.4,,3.3,,,3.85,"decrease",,"Sub-Saharan Africa","Low-income country"
"Additional Countries","Morocco",9.8,,,,5.8,7.8,"decrease",,"Middle East & North Africa","Lower-middle-income country"
"Additional Countries","Myanmar",,,,2.4,2.5,2.45,"increase",,"East Asia & the Pacific","Low-income country"
"Additional Countries","New Caledonia",,,,30.5,51.9,41.2,"increase",,"High-income country","High-income country"
"Additional Countries","Nicaragua",37.3,,,,31.3,34.3,"decrease",,"Latin America & the Caribbean","Lower-middle-income country"
"Additional Countries","Saint Vincent and the Grenadines",,,,1.4,1,1.2,"decrease",,"Latin America & the Caribbean","Upper-middle-income country"
"Additional Countries","Samoa",,,,6.1,3.6,4.85,"decrease",,"East Asia & the Pacific","Lower-middle-income country"
"Additional Countries","Senegal",3.6,,,,4.3,3.95,"increase",,"Sub-Saharan Africa","Lower-middle-income country"
"Additional Countries","Sierra Leone",,1.8,1.6,,,1.7,"decrease",,"Sub-Saharan Africa","Low-income country"
"Additional Countries","Slovenia",,,,5.8,11,8.4,"increase",,"High-income country","High-income country"
"Additional Countries","Swaziland",,19.5,11.8,,,15.65,"decrease",,"Sub-Saharan Africa","Lower-middle-income country"
"Additional Countries","Syrian Arab Republic",,9,6.5,,,7.75,"decrease",,"Middle East & North Africa","Lower-middle-income country"
"Additional Countries","Tonga",,,3.3,,2.6,2.95,"decrease",,"East Asia & the Pacific","Lower-middle-income country"
"Additional Countries","Tunisia",15.4,,,,10.5,12.95,"decrease",,"Middle East & North Africa","Upper-middle-income country"
"Additional Countries","Uganda",3.3,,,2.2,,2.75,"decrease",,"Sub-Saharan Africa","Low-income country"
"Additional Countries","Viet Nam",,,,0.5,0.7,0.6,"increase",,"East Asia & the Pacific","Lower-middle-income country"
"Additional Countries","Yemen ",,,2,,1.1,1.55,"decrease",,"Middle East & North Africa","Lower-middle-income country"
